,Hotel_name,Star_rating,City,Country,Price_per_night,Amenities,Customer_review1,Customer_review2
0,Hotel Surya Prime,4.3/5,kota,India,1615,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
1,Hotel Rallentino,4.3/5,kota,India,1615,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
2,The Geeta,3.9/5,kota,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
3,Capital O 10148 Hotel Paras Royale By Arn Group,4.3/5,kota,India,1615,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
4,Le Amor,3.9/5,kota,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
5,5 Flowers Ananta Elite,4.3/5,kota,India,891,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
6,Hotel Flower Inn,4.3/5,kota,India,1615,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
7,Premier Hotel,3.9/5,kota,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
8,Hotel Swagat,4.3/5,kota,India,891,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
9,Hotel Ortus,4.1/5,kota,India,1473,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
10,Crystal Inn,4.3/5,kota,India,1615,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
11,Hotel Anand,3.9/5,kota,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
12,Hotel Surya Plaza,4.3/5,kota,India,891,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
13,Hotel Mittal(Dadabari),4.1/5,kota,India,1473,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
14,HOTEL PARK HORIZON,4.4/5,kota,India,1727,"['Doctor On Call', 'First-aid Services', 'Air Conditioning', 'Indoor Entertainment']",it was very well cleaned and maintened room. also bathroom was very nice. facilities was good also....,"Good Hotel, very good staff, Hygienic and clean room, Food quality also good, room service excellent. central location neat and clean hotel."
15,HOTEL NAVRANG,4.3/5,kota,India,1615,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
16,Hotel Midtown Grand,3.9/5,kota,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
17,Hotel Celebration & Banquets,4.3/5,kota,India,891,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
18,OYO 30911 Eleven 43 Suites,4.1/5,kota,India,1473,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
19,Kasturi Residency,4.4/5,kota,India,1727,"['Doctor On Call', 'First-aid Services', 'Air Conditioning', 'Indoor Entertainment']",it was very well cleaned and maintened room. also bathroom was very nice. facilities was good also....,"Good Hotel, very good staff, Hygienic and clean room, Food quality also good, room service excellent. central location neat and clean hotel."
20,OYO 24067 Hotel Royal Paradise,4.3/5,kota,India,1615,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Room Service']","Good Hotel. Neat and clean. Very Good Food. Excellent Breakfast. Value for Money. Hotel Staff were cooperative.
Location near to Industrial Area. Hotel Service and Guidance. Relaxing on return. Good Space to have Morning and evening walk also.",Hotel is situated at a peaceful area. Hotel staff is attentive and always delivers prompt service. Check-in process was smooth and rooms are spacious. Overall my stay was amazing and I would love to visit again.
21,Santosh Hotel And Restaurant,4.3/5,kota,India,2212,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
22,Hotel Chandan,3.9/5,kota,India,891,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
23,Capital O 73835 Hotel Frontier Royal & Banquet,4.3/5,kota,India,1473,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
24,OYO 8387 Hotel Shri Kalyan,4.1/5,kota,India,1727,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
25,HOTEL ROCKLAND,4.4/5,kota,India,1250,"['Doctor On Call', 'First-aid Services', 'Air Conditioning', 'Indoor Entertainment']",it was very well cleaned and maintened room. also bathroom was very nice. facilities was good also....,"Good Hotel, very good staff, Hygienic and clean room, Food quality also good, room service excellent. central location neat and clean hotel."
26,HOTEL CENTRUM,4.3/5,kota,India,1615,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Room Service']","Good Hotel. Neat and clean. Very Good Food. Excellent Breakfast. Value for Money. Hotel Staff were cooperative.
Location near to Industrial Area. Hotel Service and Guidance. Relaxing on return. Good Space to have Morning and evening walk also.",Hotel is situated at a peaceful area. Hotel staff is attentive and always delivers prompt service. Check-in process was smooth and rooms are spacious. Overall my stay was amazing and I would love to visit again.
27,Hotel Sunrise Inn,4.1/5,kota,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","hotel is good but need to improve some more.food is too delicious and quality is awesome, location is very good","Nice experience. Rooms were clean and staff were polite as well. Resturant was also decent with a good quality food.
I liked the way hotel staff treats you. Thry are very nice and polite."
28,Hotel Lilac,4.3/5,kota,India,891,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
29,Lotus Ananta Elite Kota,3.9/5,kota,India,1473,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
30,HOTEL BASANT,4.3/5,shimla,India,1727,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
31,Hotel Amar Palace,4.1/5,shimla,India,1250,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
32,"Jakhu vibes, shimla",4.4/5,shimla,India,1136,"['Doctor On Call', 'First-aid Services', 'Air Conditioning', 'Indoor Entertainment']",it was very well cleaned and maintened room. also bathroom was very nice. facilities was good also....,"Good Hotel, very good staff, Hygienic and clean room, Food quality also good, room service excellent. central location neat and clean hotel."
33,Meridian,4.3/5,shimla,India,1615,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Room Service']","Good Hotel. Neat and clean. Very Good Food. Excellent Breakfast. Value for Money. Hotel Staff were cooperative.
Location near to Industrial Area. Hotel Service and Guidance. Relaxing on return. Good Space to have Morning and evening walk also.",Hotel is situated at a peaceful area. Hotel staff is attentive and always delivers prompt service. Check-in process was smooth and rooms are spacious. Overall my stay was amazing and I would love to visit again.
34,Rocky Knob (Explore World Art in One Property),4.1/5,shimla,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","hotel is good but need to improve some more.food is too delicious and quality is awesome, location is very good","Nice experience. Rooms were clean and staff were polite as well. Resturant was also decent with a good quality food.
I liked the way hotel staff treats you. Thry are very nice and polite."
35,The Rock Castle,4.1/5,shimla,India,891,"['Sanitizers installed', 'Safety authorization certificate', 'Power backup', 'Restaurant/Coffee Shop']","good hotel and cooperative staff and prime location, very nice stay, nice hotel, nice staff, good room, ac is proper work, room neat and clean","Nice room and cooperative and helpful staff.
This is a good property in Gumanpura,Kota.
Good for family stay also"
36,WoodVista Cottages,4.3/5,shimla,India,1473,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
37,Snow Lotus,3.9/5,shimla,India,1727,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
38,Off The City,4.3/5,shimla,India,1250,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
39,Shivanchal Homestay,4.1/5,shimla,India,1136,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
40,Zostel Homes Mashobra (Shimla),4.4/5,shimla,India,1173,"['Doctor On Call', 'First-aid Services', 'Air Conditioning', 'Indoor Entertainment']",it was very well cleaned and maintened room. also bathroom was very nice. facilities was good also....,"Good Hotel, very good staff, Hygienic and clean room, Food quality also good, room service excellent. central location neat and clean hotel."
41,MyHome Staycations,4.3/5,shimla,India,1615,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Room Service']","Good Hotel. Neat and clean. Very Good Food. Excellent Breakfast. Value for Money. Hotel Staff were cooperative.
Location near to Industrial Area. Hotel Service and Guidance. Relaxing on return. Good Space to have Morning and evening walk also.",Hotel is situated at a peaceful area. Hotel staff is attentive and always delivers prompt service. Check-in process was smooth and rooms are spacious. Overall my stay was amazing and I would love to visit again.
42,The Silver Oak Home Stay,4.1/5,shimla,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","hotel is good but need to improve some more.food is too delicious and quality is awesome, location is very good","Nice experience. Rooms were clean and staff were polite as well. Resturant was also decent with a good quality food.
I liked the way hotel staff treats you. Thry are very nice and polite."
43,Frosty Woods Home Stay,4.1/5,shimla,India,891,"['Sanitizers installed', 'Safety authorization certificate', 'Power backup', 'Restaurant/Coffee Shop']","good hotel and cooperative staff and prime location, very nice stay, nice hotel, nice staff, good room, ac is proper work, room neat and clean","Nice room and cooperative and helpful staff.
This is a good property in Gumanpura,Kota.
Good for family stay also"
44,Green Caravan Camps,4.3/5,shimla,India,1473,"['Sanitizers', 'First-aid Services', 'Sanitizers installed', 'Power backup']","Nice hotel with good amenities, have a pleasant stay with this hotel. its seems like a house, staff behaviour is good.
TV not working. rooms are big with single bed.","Good experience every time booked it.
Cooperative staff... Good facilities... Lactation is very much reachable."
45,Vaishnavi Home Stay,4.3/5,shimla,India,1727,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
46,Ameera Hotel,3.9/5,shimla,India,1250,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
47,Silver Oak Cottage,4.3/5,shimla,India,1136,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
48,Solo Home,4.1/5,shimla,India,1173,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Parking Facility']","great stay at kota, Good & tasty food. good staff. location is very good everything is approachable from hotel.","Hi, Amit Derasari! Happy to hear that you loved our services. We are amazing just because of amazing guests like you. We"
49,Hotel Chadwick View Shimla,4.4/5,shimla,India,2411,"['Doctor On Call', 'First-aid Services', 'Air Conditioning', 'Indoor Entertainment']",it was very well cleaned and maintened room. also bathroom was very nice. facilities was good also....,"Good Hotel, very good staff, Hygienic and clean room, Food quality also good, room service excellent. central location neat and clean hotel."
50,Hotel Aangan Regency,4.3/5,shimla,India,1615,"['Doctor On Call', 'First-aid Services', 'Sanitizers installed', 'Room Service']","Good Hotel. Neat and clean. Very Good Food. Excellent Breakfast. Value for Money. Hotel Staff were cooperative.
Location near to Industrial Area. Hotel Service and Guidance. Relaxing on return. Good Space to have Morning and evening walk also.",Hotel is situated at a peaceful area. Hotel staff is attentive and always delivers prompt service. Check-in process was smooth and rooms are spacious. Overall my stay was amazing and I would love to visit again.
51,The Silicon Inn,4.1/5,shimla,India,2212,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","hotel is good but need to improve some more.food is too delicious and quality is awesome, location is very good","Nice experience. Rooms were clean and staff were polite as well. Resturant was also decent with a good quality food.
I liked the way hotel staff treats you. Thry are very nice and polite."
52,Singh's BnB by Lazy Getaways,4.1/5,shimla,India,891,"['Sanitizers installed', 'Safety authorization certificate', 'Power backup', 'Restaurant/Coffee Shop']","good hotel and cooperative staff and prime location, very nice stay, nice hotel, nice staff, good room, ac is proper work, room neat and clean","Nice room and cooperative and helpful staff.
This is a good property in Gumanpura,Kota.
Good for family stay also"
53,The Haritage Shimla,4.3/5,shimla,India,1473,"['Sanitizers', 'First-aid Services', 'Sanitizers installed', 'Power backup']","Nice hotel with good amenities, have a pleasant stay with this hotel. its seems like a house, staff behaviour is good.
TV not working. rooms are big with single bed.","Good experience every time booked it.
Cooperative staff... Good facilities... Lactation is very much reachable."
54,Meraki Shimla,4.3/5,shimla,India,1727,"['Doctor On Call', 'Sanitizers', 'Gloves', 'Sanitizers installed']","Very nice experience. Courteous staff, neat, clean, luxurious, well maintained Hotel with all minimum required amenities.","Dear Guest, Thank you for the feedback and giving your time to review us.This made our day and also improve our service"
55,Parimahal Homestay,4.3/5,shimla,India,1250,"['Doctor On Call', 'Sanitizers', 'Sanitizers installed', 'Room Service']","Hotel service was awesome, specially breakfast was good.Room was spacious and equipped was all necessary items.All the service which they provide free of cost you should ask for them, they don't give you without asking.",Hotel room neat and clean but is small and no ventilation. staff behaviour is good. Overall is ok. Nice stay
56,Hill view cottage,3.9/5,shimla,India,1136,"['Sanitizers', 'Sanitizers installed', 'Power backup', 'Restaurant/Coffee Shop']","The hotel is located very near to railway station which is very good. There are nearby options of restaurants where you can grab food. Overall a decent stay
hassle free check in, clean room","Quick response. Staff is very friendly. Rooms are spacious, neat and comfortable. It is located at very desirable place. Restaurant yet to start."
57,Golden Oak,4.3/5,shimla,India,1173,"['Doctor On Call', 'Sanitizers', 'First-aid Services', 'Sanitizers installed']",Good stay and good food. Service is also prompt. Nearby Railway Station Area. Maximum facilities available.,"Neat and clean rooms . staff behaviour is good , for any query contact Mr. Ranjeet Singh.Near kota railway station on walking distance."
